Ingredient,Quantity,Unit
Tomatoes,697,tablespoons
Eggs,294,tablespoons
Broccoli,82,cups
Tomatoes,698,tablespoons
Tomatoes,413,cups
Tofu,562,tablespoons
Yogurt,472,pieces
Tomatoes,359,grams
Tomatoes,380,pieces
Bread,474,cups
Cheese,827,pieces
Yogurt,19,grams
Garlic,200,grams
Soy Sauce,188,grams
Broccoli,325,pieces
Milk,761,cups
Chicken,404,cups
Lime,687,ml
Salmon,101,ml
Milk,608,ml
Lemon,474,ml
Onions,649,tablespoons
Lemon,273,tablespoons
Pasta,762,tablespoons
Lemon,657,pieces
Pasta,960,cups
Eggs,977,tablespoons
Lemon,494,tablespoons
Chicken,403,ml
Garlic,781,ml
Bread,924,ml
Eggs,351,pieces
Milk,850,cups
Tomatoes,173,tablespoons
Tofu,117,tablespoons
Salmon,680,tablespoons
Carrots,54,tablespoons
Bread,238,pieces
Bread,19,tablespoons
Tomatoes,136,cups
Lettuce,331,grams
Lemon,990,grams
Broccoli,194,pieces
Vinegar,419,ml
Cheese,42,pieces
Soy Sauce,650,tablespoons
Broccoli,431,tablespoons
Eggs,835,pieces
Bread,586,ml
Spinach,514,ml
